accuracy,object,coordx,coordy,coordz,coordw
0.99012041,11,842.51739502,169.81898499,946.63739014,272.47918701
0.99322832,11,844.8515625 ,170.06202698,949.4977417 ,271.90078735
0.99321103,11,846.78430176,169.28367615,950.2791748 ,272.48529053
0.99056762,11,848.02496338,169.48091125,951.77276611,272.40011597
0.98813558,11,849.53393555,169.60481262,950.90124512,271.69927979
0.98506695,11,849.1003418 ,169.24385071,951.23669434,272.14413452
0.98715717,11,848.76495361,169.15377808,951.26104736,272.31082153
0.98715919,11,849.1439209 ,169.30435181,951.48114014,272.0897522 
0.98728901,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
0.98548597,11,848.5803833 ,170.22462463,950.48516846,272.16387939
